2024/02/26 20:18:42 || GET       | connect web site.                       | /top
2024/02/28 01:41:29 || GET       | connect web site.                       | /top
2024/02/28 02:30:00 || GET       | connect web site.                       | /top
2024/02/28 16:58:20 || GET       | connect web site.                       | /top
2024/02/28 17:29:37 || GET       | connect web site.                       | /top
2024/02/28 18:32:34 || GET       | connect web site.                       | /administrator
2024/02/28 18:32:43 || GET       | connect web site.                       | /administrator_to_do
2024/02/28 18:32:44 || GET       | connect web site.                       | /form_to_do
2024/02/28 18:32:57 || POST      | add data success!                       | /form_to_do
2024/02/28 18:32:57 || GET       | connect web site.                       | /administrator
2024/02/28 18:33:02 || GET       | connect web site.                       | /top
2024/02/28 18:33:03 || GET       | connect web site.                       | /to_do
2024/02/28 18:33:09 || GET       | connect web site.                       | /administrator
2024/02/28 18:33:14 || GET       | connect web site.                       | /administrator_to_do
2024/02/28 18:33:17 || GET       | connect web site. ID = 1                | /1/update_to_do
2024/02/28 18:33:21 || POST      | update data success! ID = 1             | /1/update_to_do
2024/02/28 18:33:22 || GET       | connect web site.                       | /administrator_to_do
2024/02/28 18:35:43 || GET       | connect web site.                       | /top
2024/02/28 18:35:47 || GET       | connect web site.                       | /administrator
2024/02/28 18:38:15 || GET       | connect web site.                       | /top
2024/02/28 18:38:23 || GET       | connect web site.                       | /administrator
2024/02/28 18:38:52 || GET       | connect web site.                       | /top
2024/02/28 18:39:59 || GET       | connect web site.                       | /top
2024/02/28 18:40:28 || GET       | connect web site.                       | /administrator
2024/02/28 18:40:36 || GET       | connect web site.                       | /administrator_to_do
2024/02/28 18:42:37 || GET       | connect web site.                       | /top
2024/02/28 18:42:40 || GET       | connect web site.                       | /to_do
2024/02/28 18:43:54 || GET       | connect web site.                       | /to_do
2024/02/28 18:43:57 || GET       | connect web site.                       | /top
2024/02/28 18:44:07 || GET       | connect web site.                       | /to_do
2024/02/29 22:42:20 || GET       | connect web site.                       | /top
2024/02/29 22:43:42 || GET       | connect web site.                       | /top
2024/02/29 22:43:47 || GET       | connect web site.                       | /to_do
2024/02/29 22:44:54 || GET       | connect web site.                       | /administrator
2024/02/29 22:44:56 || GET       | connect web site.                       | /administrator_to_do
2024/02/29 22:45:48 || GET       | connect web site.                       | /administrator_to_do
2024/02/29 22:45:50 || GET       | connect web site. ID = 1                | /1/update_to_do
2024/03/01 12:16:27 || GET       | connect web site.                       | /top
2024/03/01 12:18:02 || GET       | connect web site.                       | /top
2024/03/01 12:18:22 || GET       | connect web site.                       | /top
